Latitude,Longitude,
37.865689,-122.2539043," 2500 COLLEGE AVE, Berkeley, CA"
37.8654219,-122.2561329," 2600 DWIGHT WAY, Berkeley, CA"
37.865689,-122.2539043," 2500 COLLEGE AVE, Berkeley, CA"
37.8726947,-122.2707384," 2000 BERKELEY WAY, Berkeley, CA"
37.8713222,-122.2728006," 1900 UNIVERSITY AVE, Berkeley, CA"
37.8643701,-122.2629538," 2500 ELLSWORTH  ST, Berkeley, CA"
37.8639383,-122.2605464," 2400 BLAKE ST, Berkeley, CA"
37.8655842,-122.2679444,"2400 SHATTUCK AVE, Berkeley, CA"
37.8759233,-122.2605919," 1800 EUCLID AVE, Berkeley, CA"
37.8633773,-122.2551933," 2600 BENVENUE AVE, Berkeley, CA"
37.864542,-122.2629652," 2300 DWIGHT WAY, Berkeley, CA"
37.8692363,-122.2682686," 2200 SHATTUCK AVE, Berkeley, CA"
37.8607799,-122.2620668," 2300 DERBY ST, Berkeley, CA"
37.8651878,-122.2577886,"2500 REGENT ST, Berkeley, CA"
37.8657237,-122.2516624," 2500 PIEDMONT AVE, Berkeley, CA"
37.864542,-122.2629652," 2300 DWIGHT WAY, Berkeley, CA"
37.865331,-122.2552602,"2500 BENVENUE  AVE, Berkeley, CA"
37.8616548,-122.2559951," HILLEGASS AVE& DERBY ST, Berkeley, CA"
37.8709232,-122.2896728," 1200 HEARST AVE, Berkeley, CA"
37.865331,-122.2552602," 2500 BENVENUE AVE, Berkeley, CA"
37.8727255,-122.2777174," HEARST AVE& MCGEE AVE, Berkeley, CA"
37.8679229,-122.2793824," 1600 ALLSTON WAY, Berkeley, CA"
37.8666385,-122.2760825,"2300 ROOSEVELT AVE, Berkeley, CA"
37.865689,-122.2539043," 2500 COLLEGE AVE, Berkeley, CA"
37.8633542,-122.2649969,"2200 BLAKE ST, Berkeley, CA"
37.8664769,-122.2622194," 2300 CHANNING  WAY, Berkeley, CA"
37.8623555,-122.2645252," 2200 PARKER ST, Berkeley, CA"
37.8707434,-122.2773624,"1700 UNIVERSITY AVE, Berkeley, CA"
37.8633542,-122.2649969," 2200 BLAKE ST, Berkeley, CA"
37.8648961,-122.2673922," 2100 HASTE ST, Berkeley, CA"
37.8643701,-122.2629538," 2500 ELLSWORTH ST, Berkeley, CA"
37.8623555,-122.2645252," 2200 PARKER ST, Berkeley, CA"
37.8635252,-122.255005,"BENVENUE AVE& PARKER ST, Berkeley, CA"
37.8915525,-122.2650992,"1000 EUCLID AVE, Berkeley, CA"
37.8684989,-122.2677872," 2100 KITTREDGE ST, Berkeley, CA"
37.8676712,-122.2510212," 2400 WARRING ST, Berkeley, CA"
37.8595462,-122.2591441," 2400 STUART ST, Berkeley, CA"
37.8616367,-122.2559934," 2700 HILLEGASS AVE, Berkeley, CA"
37.8520408,-122.2862887,"1200 ASHBY AVE, Berkeley, CA"
37.8675433,-122.2521006," 2400 PIEDMONT AVE, Berkeley, CA"
37.873331,-122.2732012,"1900 HEARST AVE, Berkeley, CA"
37.8506536,-122.2761085," 1600 WOOLSEY ST, Berkeley, CA"
37.895055,-122.2613585,"100 FOREST LN, Berkeley, CA"
37.873331,-122.2732012,"1900 HEARST AVE, Berkeley, CA"
37.8669905,-122.2549534," CHANNING WAY& ATHERTON ST, Berkeley, CA"
37.8651657,-122.2865747,"1300 BANCROFT WAY, Berkeley, CA"
37.8565551,-122.2669058," 2900 SHATTUCK  AVE, Berkeley, CA"
37.8547666,-122.2689264,"ASHBY AVE& ADELINE ST, Berkeley, CA"
37.866324,-122.2633511," 2400 ELLSWORTH  ST, Berkeley, CA"
37.8547692,-122.2689219," 2000 ASHBY AVE, Berkeley, CA"
37.8665544,-122.2540694," 2700 HASTE ST, Berkeley, CA"
37.8565896,-122.255208," 2600 ASHBY AVE, Berkeley, CA"
37.8692865,-122.2546024,"2300 COLLEGE AVE, Berkeley, CA"
37.8675433,-122.2521006," 2400 PIEDMONT AVE, Berkeley, CA"
37.8702602,-122.2731962," 2100 M L KING JR WAY, Berkeley, CA"
37.8668811,-122.2952459," 2100 EIGHTH  ST, Berkeley, CA"
37.8760345,-122.2603253," 2500 RIDGE RD, Berkeley, CA"
37.8888557,-122.2539345," 2900 SHASTA RD, Berkeley, CA"
37.8936844,-122.2721076,"900 INDIAN ROCK AVE, Berkeley, CA"
,,"HARMON ST&  KING ST, Berkeley, CA"
37.847212,-122.281126," 1300 ALCATRAZ AVE, Berkeley, CA"
37.8636146,-122.2536932," 2600 COLLEGE AVE, Berkeley, CA"
37.8597812,-122.2642985," 2200 WARD ST, Berkeley, CA"
37.867866,-122.2700827," 2000 KITIREDGE ST, Berkeley, CA"
37.8684944,-122.2941347,"1000 UNIVERSI TY AVE, Berkeley, CA"
37.8694275,-122.2819487,"SACRAMENTO ST&  ADDISON ST, Berkeley, CA"
37.8623555,-122.2645252," 2200 PARKER ST, Berkeley, CA"
