Latitude,Longitude,Address,Date,Time
37.861651,-122.2537611,"2700 COLLEGE AVE, Berkeley, CA",03/17/2016,09:03:00
37.8702602,-122.2731962,"2100 ML  KING JR WAY, Berkeley, CA",06/25/2016,12:55:00
37.8702602,-122.2731962,"2100 ML  KING JR WAY, Berkeley, CA",07/01/2016,16:59 :00
37.8692865,-122.2546024,"2300 COLLEGE AVE, Berkeley, CA",07/01/2016,22:00:00
37.8660122,-122.2585881,"2500 HASTE ST, Berkeley, CA",08/09/2016,21:00 :00
37.8660122,-122.2585881,"2500 HASTE ST, Berkeley, CA",08/09/2016,21:00 :00
37.869027,-122.2543042,"2700 BANCROFT WAY, Berkeley, CA",08/19/2016,11:20:00
37.869027,-122.2543042,"2700 BANCROFT WAY, Berkeley, CA",08/19/2016,23:15 :00
37.8695901,-122.2523046,"PIEDMONT AVE& BANCROFT WAY, Berkeley, CA",08/19/2016,23:06:00
37.8747884,-122.2687373,"SHATTUCK AVE& DELAWARE ST, Berkeley, CA",08/19/2016,09:05:00
37.8672957,-122.2579139,"WARRING ST&  CHANNING WAY, Berkeley, CA",08/21/2016,23:58 :00
37.8668186,-122.2516823,"PIEDMONT AVE& HASTE ST, Berkeley, CA",08/21/2016,21:52 :00
37.8673847,-122.2609578,"2400 DURANT AVE, Berkeley, CA",08/20/2016,13:00:00
37.8672957,-122.2579139,"WARRING ST&  CHANNING WAY, Berkeley, CA",08/21/2016, 23:58 :00
37.8672957,-122.2579139,"WARRING ST&  CHANNING WAY, Berkeley, CA",08/22/2016,00:38 :00
37.867927,-122.2508414,"CHANNING WAY& WARRING ST, Berkeley, CA",08/22/2016,00:15:00
37.867814,-122.2589767,"DURANT AVE& TELEGRAPH AVE, Berkeley, CA",08/25/2016,22:51:00
37.8666846,-122.2590901,"TELEGRAPH AVE& CHANN ING WAY, Berkeley, CA",08/25/2017,23:38:00
37.866914,-122.2587858,"CHANNING WAY& TELEGRAPH AVE, Berkeley, CA",08/26/2016,21:55:00
37.8683469,-122.2544485,"2700 DURANT AVE, Berkeley, CA",08/20/2016,00:05:00
37.867478,-122.251992,"PIEDM ONT AVE& CHANNING  WAY, Berkeley, CA",08/20/2016,11:45:00
37.867478,-122.251992,"PIEDMONT AVE& CHANNING  WAY, Berkeley, CA",08/20/2016,11:10:00
37.867478,-122.251992,"PIEDMONT AVE& CHANNING  WAY, Berkeley, CA",08/20/2016,11:00:00
37.867478,-122.251992,"PIEDMONT AVE& CHANNING  WAY, Berkeley, CA",08/20/2016, 22:58:00
37.867478,-122.251992,"PIEDMONT AVE& CHANNING  WAY, Berkeley, CA",08/20/2016,22:30 :00
37.867478,-122.251992,"PIEDMONT AVE& CHANNING  WAY, Berkeley, CA",08/20/2016,23:45:00
37.861651,-122.2537611,"2700 COLLEGE AVE, Berkeley, CA",08/21/2016,19:23:00
37.861651,-122.2537611,"2700 COLLEGE AVE, Berkeley, CA",08/25/2016,08:20:00
37.8629155,-122.2591433,"2600 TELEGRAPH AVE, Berkeley, CA",08/26/2016,10:35:00
37.8817523,-122.2698365,"1400 SHATTUCK  AVE, Berkeley, CA",08/26/2016, 22:11 :00
37.8817523,-122.2698365,"1400 SHATTUCK  AVE, Berkeley, CA",08/26/2016, 22:10 :00
37.8617894,-122.2535259,"COL LEGE AVE& DERBY ST, Berkeley, CA",08/26/2016,21:00:00
37.8817523,-122.2698365,"1400 SHATTUCK AVE, Berkeley, CA",08/26/2016,21:40 :00
37.8690609,-122.2512191,"2300 WARRING ST, Berkeley, CA",08/26/2016,11:26:00
37.8617894,-122.2535259,"COLLEGE AVE& DERBY ST, Berkeley, CA",08/26/2016,09:02:00
37.8683469,-122.2544485,"DURANT AVE& COLLEGE AVE, Berkeley, CA",08/25/2016,22:51:00
37.867478,-122.251992,"PIEDM ONT AVE& CHANNING WAY, Berkeley, CA",08/20/2016, 22:37:00
37.867478,-122.251992,"PIEDMONT AVE& CHANNING  WAY, Berkeley, CA",08/20/2016, 23:20:00
37.8689291,-122.2591921,"2300 TELEGRAPH  AVE, Berkeley, CA",08/25/2016, 23:49:00
37.867478,-122.251992,"PIEDMONT AVE& CHANNING WAY, Berkeley, CA",08/21/2016,00:16:00
37.867478,-122.251992,"PIEDMONT AVE& CHANNING WAY, Berkeley, CA",08/20/2016,25:50:00
37.8695859,-122.2523046,"2300 PIEDMONT AVE, Berkeley, CA",08/20/2016,21:59:00
37.8640777,-122.2514871,"500 PIEDMONT AVE, Berkeley, CA",08/20/2017,21:59:00
37.867478,-122.251992,"PIEDMONT AVE& CHANNING  WAY, Berkeley, CA",08/20/2016,22:17:00
37.867478,-122.251992,"CHANNING WAY& PIEDMONT AVE, Berkeley, CA",08/21/2016,00:25:00
37.8665563,-122.2540921,"HASTE ST&   COLLEGE  AVE, Berkeley, CA",08/27/2016,01:45:00
37.8634385,-122.2562907,"2600 PARKER ST, Berkeley, CA",08/26/2016,22:36:00
37.8727533,-122.2968916,"1700 EIGHTH ST, Berkeley, CA",11/21/2016,23:00:00
37.8727533,-122.2968916,"1700 EIGHTH ST, Berkeley, CA",11/21/2016,23:07:00
